factchecker,dataset,model,precision,recall,f1_score
factool,factcheckbench,gpt-4o-mini,0.62,0.66,0.61
factool,factcheckbench,gpt-4o,0.62,0.66,0.6
factool,bingcheck,gpt-4o-mini,0.61,0.63,0.56
factool,bingcheck,gpt-4o,0.6,0.61,0.55
factool,factool_qa,gpt-4o-mini,0.63,0.67,0.64
factool,factool_qa,gpt-4o,0.64,0.67,0.65
urdufactcheck,factcheckbench,gpt-4o,0.59,0.62,0.55
urdufactcheck,factcheckbench,gpt-4o-mini,0.62,0.64,0.54
urdufactcheck,bingcheck,gpt-4o,0.63,0.63,0.55
urdufactcheck,bingcheck,gpt-4o-mini,0.66,0.66,0.56
urdufactcheck,factool_qa,gpt-4o,0.6,0.63,0.59
urdufactcheck,factool_qa,gpt-4o-mini,0.6,0.64,0.56
urdufactcheckthtr,factcheckbench,gpt-4o,0.64,0.68,0.6
urdufactcheckthtr,bingcheck,gpt-4o,0.61,0.61,0.54
urdufactcheckthtr,factool_qa,gpt-4o,0.59,0.61,0.58
urdufactchecktr,factcheckbench,gpt-4o,0.66,0.71,0.64
urdufactchecktr,factcheckbench,gpt-4o-mini,,,
urdufactchecktr,bingcheck,gpt-4o,0.59,0.61,0.57
urdufactchecktr,bingcheck,gpt-4o-mini,0.68,0.72,0.65
urdufactchecktr,factool_qa,gpt-4o,0.67,0.73,0.67
urdufactchecktr,factool_qa,gpt-4o-mini,0.61,0.65,0.57
